model,split_type,partial_chars,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,ece_mean,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,ece_std
retuned_entity_view_lr,partial_500_chars,500,0.896969696969697,0.7236189693855598,0.9206349206349206,0.8102028378114227,0.969106846718787,0.9428058903959307,0.17291606363153264,0.009185117918925859,0.021684656772348543,0.0054985739922821545,0.013919215896976058,0.007475473302181191,0.008218553908504605,0.0074478229273657
retuned_hrkg_all_lr,partial_1000_chars,1000,0.959090909090909,0.8942829341911911,0.9396825396825396,0.9163915812063831,0.9903150912106136,0.9772501048097973,0.036393810389287934,0.0022727272727272457,0.004269203196672084,0.01099714798456426,0.005034475738756546,0.0033556590036329806,0.0020045793641668246,0.004814447988231335
retuned_hrkg_all_lr,partial_2000_chars,2000,0.9553030303030302,0.9052297650428492,0.9079365079365079,0.9065495356458614,0.9904761904761905,0.973857932066117,0.02643094507818323,0.005719571541871811,0.01761788769301862,0.00549857399228213,0.011323266808445054,0.002707954415358687,0.005404463909507468,0.008857652019056755
retuned_hrkg_all_lr,partial_500_chars,500,0.9280303030303031,0.7910546274961597,0.9492063492063493,0.8629081559343755,0.9837147595356551,0.9663670732076076,0.07975222349577687,0.0026243194054073747,0.006567074235209066,0.010997147984564342,0.005126325222947401,0.0029568275780772284,0.00105626649931522,0.004664922763801526
retuned_structural_view_lr,partial_1000_chars,1000,0.9477272727272728,0.875461137811922,0.9111111111111111,0.8928043672184472,0.9794835347074153,0.9584928069124145,0.0713163260126631,0.006818181818181834,0.024091380610143053,0.00549857399228213,0.012481771482252511,0.0016504498088931972,0.0022503170718867465,0.008330757369398435
retuned_structural_view_lr,partial_2000_chars,2000,0.943939393939394,0.8882267045623241,0.8761904761904762,0.8818243328963504,0.9815493958777542,0.9541506894233845,0.053964164471644906,0.0026243194054073908,0.0237472571041311,0.01904761904761909,0.0030894610308368686,0.0010981212745317668,0.006301412116020845,0.007675779882532962
retuned_structural_view_lr,partial_500_chars,500,0.9090909090909092,0.7558954219264259,0.9142857142857143,0.8275716850528158,0.9686377635631366,0.9426786100645185,0.10774874209879208,0.0022727272727272735,0.0019221428777479444,0.00952380952380956,0.005053617268639459,0.004339595905746783,0.004787520731525743,0.003129504702641287
retuned_text_hrkg_late_fusion,partial_1000_chars,1000,0.9643939393939394,0.9376971539342674,0.9111111111111111,0.9239302877656187,0.9946932006633499,0.9886168581973257,0.029183524425491863,0.012923274325175784,0.012623012291636575,0.04697983678396432,0.029294251880671904,0.005085770005573046,0.007847105153659197,0.0019762536394889053
retuned_text_hrkg_late_fusion,partial_2000_chars,2000,0.9712121212121212,0.9614980625868118,0.9174603174603174,0.9380379992723471,0.9961715233357024,0.9909441546014529,0.02316527805228709,0.004731059089695742,0.027282500919338752,0.045007767869072436,0.012401869063815093,0.0024360317391184604,0.00285975727002331,0.0038973653972474154
retuned_text_hrkg_late_fusion,partial_500_chars,500,0.956060606060606,0.9114560104659114,0.9047619047619048,0.9076471293299773,0.9904477611940298,0.9789483678726908,0.03962246072683737,0.015963111746746608,0.04258145576927237,0.04151332327181601,0.03398121670333435,0.0069482119440640875,0.011090783909880811,0.006758885589763487
retuned_text_only_lexical_lr,partial_1000_chars,1000,0.9696969696969697,0.9624271177117713,0.9079365079365079,0.9342782496075938,0.99772565742715,0.992737672557241,0.025704705536851228,0.01906022064455921,0.030608775271196646,0.05245305283129625,0.04225675973474959,0.0022901017624047497,0.007566443546833525,0.015591452787502201
retuned_text_only_lexical_lr,partial_2000_chars,2000,0.975,0.9830949761642831,0.9111111111111111,0.9450502033026305,0.9990523572613125,0.9965071793624668,0.02114841068549003,0.011809437324333281,0.0050176756068185625,0.054985739922821526,0.027911730713623496,0.0004768441838582076,0.001911752271007789,0.00978252047962139
retuned_text_only_lexical_lr,partial_500_chars,500,0.9553030303030302,0.9236089045797784,0.8857142857142857,0.9042011551337232,0.9881923714759536,0.9735735940700243,0.03727256942377527,0.020622208467903316,0.04125712002184067,0.04948716593053931,0.044903324665016606,0.007125284098136279,0.017682563224694397,0.02027390643552358
